Antonym,Derived word,ex_japa,example,japanese,level,No,part of speech,Synonym,word,unique id
,veins,看護師は点滴のための静脈を見つけるのに苦労した。,The nurse had trouble finding a vein for the IV.,静脈,6,2356,名詞,blood vessel,vein,1752129540539x626780447573448800
"loudly, noisily","quiet, quietness",赤ちゃんを起こさないように彼女は静かにドアを閉めた。,She closed the door quietly so as not to wake the baby.,静かに,2,2353,副詞,"silently, softly, hushedly",quietly,1752129540539x673115209112342400
dynamic,"statically, statics",そのウェブサイトは静的なレイアウトを持っている。,The website has a static layout.,静的な,6,2355,形容詞,"unchanging, stationary",static,1752129540539x689332778640534300
"deduction, rebate","taxable, taxation",彼はたくさんの税金を支払っている。,He pays a lot of tax.,税金,2,2357,名詞,"levy, tariff",tax,1752129540539x933231710872858800
irresponsibility,"responsible, irresponsibility",彼女は自分の責任を真剣に受け止めている。,She takes her responsibilities seriously.,責任,4,2365,名詞,"duty, obligation",responsibility,1752129540541x268946551753233000
"irresponsible, unaccountable","responsibility, responsibly",あなたは自分の行動に責任がある。,You are responsible for your own actions.,責任がある,3,2366,形容詞,"accountable, liable",responsible,1752129540541x335013054448370050
negatively,"positive, positivity",彼女は周りの全員に積極的に影響を与える。,She positively influences everyone around her.,積極的に,6,2364,副詞,"definitely, absolutely, surely",positively,1752129540541x388345215051054660
"surplus, excess","deficient, deficiency",政府は予算赤字を削減しようとしている。,The government is trying to reduce the budget deficit.,赤字、不足,8,2369,名詞,"shortfall, deficiency",deficit,1752129540541x394100427797279300
"scatter, disperse","stackable, stacked",箱を角に積み重ねてください。,Stack the boxes in the corner.,積み重ねる,4,2362,動詞,"pile, heap, accumulate",stack,1752129540541x475805194599201200
"adult, elderly, grown-up","babyish, babyhood",赤ちゃんはクリブで寝ている。,The baby is sleeping in the crib.,赤ちゃん,1,2368,名詞,"infant, newborn, toddler",baby,1752129540541x538442277112246340
,"traceable, tracer",彼女は訪問の痕跡を残さなかった。,She left no trace of her visit.,跡,7,2370,名詞,"mark, sign, indication",trace,1752129540541x771723289383321900
"passively, lazily","active, activity",彼は積極的に地域サービスに関与している。,He is actively involved in community service.,積極的に,6,2363,副詞,"enthusiastically, vigorously, energetically",actively,1752129540541x866172562013883600
"immune, exempt","liability, libel",あなたは財産に対して生じた任意の損害に対して責任がある。,You are liable for any damage caused to the property.,責任がある,7,2367,形容詞,"responsible, accountable",liable,1752129540541x927396862898972800
"maintain, keep","switchable, switcher",出かける前に、電気を切ってもらえるか？,Can you switch off the lights before you leave?,切り替える,2,2371,動詞,"change, alter, convert",switch,1752129540542x440878965748747700
"join, attach","cutter, cutlet",彼は紙を切り裂いた。,He cut the paper into pieces.,切る,1,2372,動詞,"slice, chop, divide",cut,1752129541272x214091811511300200
recede,"approachable, approaching",この問題を解決するための新しいアプローチが必要だ。,We need a new approach to solve this problem.,接近する,3,2374,動詞,"advance, near",approach,1752129541272x284435718999930460
,"postage stamp, rubber stamp",この手紙を送るには切手が必要だ。,I need a stamp to mail this letter.,切手,1,2373,名詞,"postage, seal",stamp,1752129541272x755548721283337600
"disconnect, separate","connection, connected",プリンターをコンピューターに接続してください。,Please connect the printer to the computer.,接続する,2,2376,動詞,"link, join",connect,1752129541273x178744581492797920
"unfold, straighten","foldable, folder",紙を半分に折りなさい。,Fold the paper in half.,折る,2,2377,動詞,"bend, crease",fold,1752129541273x262868547097320670
"disconnection, separation","connect, connected",私のインターネット接続が切れた。,I lost my Internet connection.,接続,4,2375,名詞,"link, relation",connection,1752129541273x363256315361425660
dissuade,"persuasive, persuasible",彼は両親を説得して旅行に行くことを許してもらいた。,He managed to persuade his parents to let him go on the trip.,説得する,6,2381,動詞,"convince, sway",persuade,1752129541273x780407923358466800
"remove, take out","installation, installer",私たちは屋根にソーラーパネルを設置することにした。,We decided to install solar panels on our roof.,設置する,3,2378,動詞,"set up, establish",install,1752129541273x780567963305799600
"abolition, dissolution, destruction","establishments, establishmentarian",新会社の設立が発表された。,The establishment of the new company was announced.,設立,7,2379,名詞,"foundation, institution, creation",establishment,1752129541273x955267683241660600
"abolish, disestablish","establishment, established",彼らは昨年、新しい会社を設立した。,They established a new company last year.,設立する,6,2380,動詞,"set up, found",establish,1752129541273x974887984901343000
"confusion, mystery","explain, explanatory",彼の説明は満足のいくものではなかった。,His explanation was not satisfactory.,説明,3,2382,名詞,"account, description",explanation,1752129541274x410205332146429400
"follow, succeed","precedent, preceding, precedence",激しい運動の前には軽い食事を取るべきだ。,A light meal should precede heavy exercise.,先行する,5,2391,動詞,"lead, predate, antecede",precede,1752129541275x112982958467731760
"occasionally, rarely, sometimes",,彼女はスキルを向上させるために絶えず勉強している。,She is constantly studying to improve her skills.,絶えず,5,2387,副詞,"always, continuously, perpetually",constantly,1752129541275x140401660156650450
,"tongue-tied, tongue-twister",猫は自分の肉球を舌で舐めた。,The cat licked its paw with its tongue.,舌,1,2390,名詞,"language, speech",tongue,1752129541275x141954942975915260
,"snowfall, snowflake, snowy",今日は雪がひどく降っている。,The snow is falling heavily today.,雪,1,2386,名詞,"flurries, sleet, blizzard",snow,1752129541275x490191552289828160
"confuse, complicate, obscure","explainer, explanation, explanatory",あなたにルールを説明しましょう。,Let me explain the rules to you.,説明する,2,2385,動詞,"describe, clarify, elucidate",explain,1752129541275x496151474492644300
"partial, conditional","absolutely, absoluteness",彼女は自分の能力に絶対の自信を持っている。,She has absolute confidence in her ability.,絶対の,5,2389,形容詞,"complete, total, utter",absolute,1752129541275x529127877869543000
,"describe, descriptive",泥棒の特徴を説明してもらえるか？,Can you give me a description of the thief?,説明、描写,4,2383,名詞,"portrayal, depiction, account",description,1752129541275x749979808338002000
"confuse, misrepresent","describer, description",あなたの親友を説明できるか？,Can you describe your best friend?,説明する,3,2384,動詞,"detail, explain, portray",describe,1752129541275x978914774904392100
partially,"absolute, absoluteness",私はあなたに絶対に同意する。,I absolutely agree with you.,絶対に,3,2388,副詞,"completely, totally",absolutely,1752129541275x991834597379447800
"one, single, individual","thousandth, thousandfold",コンサートには1000人の人々がいた。,There were a thousand people at the concert.,千,1,2394,名詞,"milliard, myriad",thousand,1752129541278x124976928004179040
,"specialize, specialist",彼の専門は刑事法だ。,His specialty is criminal law.,専門,4,2397,名詞,"expertise, skill, forte",specialty,1752129541278x265257829355728600
"novice, beginner","expertise, expertly",彼は彼の分野の専門家だ。,He is an expert in his field.,専門家,3,2399,名詞,"specialist, professional, master",expert,1752129541278x428681401008928400
"conceal, hide","declaration, declaredly",彼は彼女への愛を宣言した。,He declared his love for her.,宣言する,4,2396,動詞,"announce, proclaim, state",declare,1752129541278x653729043468615600
"foreign, nonnative","indigenously, indigene",その植物はこの地域固有のものだ。,The plant is indigenous to this area.,先住の,5,2392,形容詞,"native, local",indigenous,1752129541278x667638889728317800
"base, bottom","tipper, tipping",このペンの先端は非常に鋭い。,The tip of this pen is very sharp.,先端、チップ,4,2393,名詞,"point, peak, apex",tip,1752129541278x751220736118231900
"generalize, broad","specialist, specialization",彼女は小児医学を専門にしたいと思っている。,She wants to specialize in pediatric medicine.,専門にする,7,2398,動詞,"focus, concentrate",specialize,1752129541278x801942275044145100
"generalist, amateur","specialty, specialization",心の問題については専門家に相談すべきだ。,You should consult a specialist for your heart problem.,専門家,5,2400,名詞,"expert, professional, authority",specialist,1752129541278x814936716877172200
"vacate, abandon","occupation, occupant",抗議者たちは自分たちの声を聞かせるために公園を占拠することに決めた。,The protesters decided to occupy the park to make their voices heard.,占める,5,2395,動詞,"inhabit, monopolize",occupy,1752129541278x926342942274383000
"incompetence, ineptitude","expert, expertly",彼の医学分野における専門知識は非常に尊重されている。,His expertise in the field of medicine is highly respected.,専門知識,5,2401,名詞,"proficiency, skill",expertise,1752129541278x937105217380797700
"novice, amateur","profession, professionalism",彼はプロのサッカー選手だ。,He is a professional football player.,専門的な,5,2402,"名詞, 形容詞","expert, specialist",professional,1752129541282x101572549985229800
,"riverside, riverbed",川は都市を流れている。,The river flows through the city.,川,1,2404,名詞,"stream, brook, watercourse",river,1752129541282x383225468073580240
,term,医学の専門用語を理解するのは難しい。,It's hard to understand the medical terminology.,専門用語,7,2403,名詞,"jargon, lingo",terminology,1752129541282x755143385643061400
"random, unplanned","strategically, strategy",それは軍にとって戦略的な場所だ。,It's a strategic location for the military.,戦略的な,7,2409,形容詞,"tactical, planned, calculated",strategic,1752129541283x179789914090848760
,"strategic, strategist",勝つためには新しい戦略が必要だ。,We need a new strategy to win.,戦略,6,2408,名詞,"plan, tactic, scheme",strategy,1752129541283x665019682989953800
"dirty, soil","washer, washable",食事前に手を洗ってください。,Please wash your hands before eating.,洗う,1,2411,動詞,"clean, rinse, scrub",wash,1752129541283x722050127686373100
"deep, profound","shallowness, shallows",岸近くは水が浅い。,The water is shallow near the shore.,浅い,3,2410,形容詞,"superficial, surface",shallow,1752129541283x775334049410746100
"peace, harmony","warfare, warrior",戦争は1945年に終わった。,The war ended in 1945.,戦争,2,2406,名詞,"conflict, battle",war,1752129541283x860430497793513100
peace,"battlefield, battler",彼らは最終戦闘の準備をしていた。,They were preparing for the final battle.,戦闘,2,2407,名詞,"fight, conflict, war",battle,1752129541283x963493851690395700
"surrender, yield","fighter, fighting",彼は正義のために戦うことを決意している。,He is determined to fight for justice.,戦う,1,2405,動詞,"battle, struggle",fight,1752129541283x991368318596231200
"primitive, crude, unsophisticated","sophistication, sophisticatedly",彼女はとても洗練されており、グルメな食事が大好きだ。,She's very sophisticated and loves gourmet food.,洗練された,8,2412,形容詞,"advanced, refined, cultured",sophisticate,1752129541756x379997591853525900
"impossibility, incapability","potentiality, potentially",彼には偉大な音楽家になる可能性がある。,He has the potential to become a great musician.,潜在能力,7,2417,名詞,"possibility, capability, promise",potential,1752129541757x184974873087057950
,,その船は港に向かっている。,The vessel is heading towards the port.,船,5,2421,名詞,"ship, boat",vessel,1752129541757x226039185685170700
"impossibly, unlikely","potential, potentiality",これは潜在的に危険な状況だ。,This is a potentially dangerous situation.,潜在的に,8,2416,副詞,"possibly, conceivably",potentially,1752129541757x414526702410495040
"curve, circle","linear, lineation, lineless",点Aから点Bに直線を引きなさい。,Draw a straight line from point A to point B.,線,1,2418,名詞,"stripe, streak, band, row",line,1752129541757x434739847696289340
,chromosomal,人間は通常23組の染色体を持っている。,Humans typically have 23 pairs of chromosomes.,染色体,9,2414,名詞,,chromosome,1752129541757x622830062686633500
"cleanliness, purity, whiteness","stained, staining",私のシャツに染みがある。,I have a stain on my shirt.,染み,3,2413,名詞,"blot, spot, mark",stain,1752129541757x754580236590008000
"land, shore","shipper, shipment",その船は海を渡りた。,The ship sailed across the ocean.,船,1,2420,名詞,"vessel, boat",ship,1752129541757x860950623417234800
bleach,"dyer, dyeing",彼女は布を染めるために自然の染料を使用した。,She used a natural dye to color the fabric.,染料,3,2415,"名詞, 動詞","colorant, pigment",dye,1752129541757x962805707079736200
,fibrous,繊維を食べることは消化に良い。,Eating fiber is good for digestion.,繊維,4,2419,名詞,fibre,fiber,1752129541757x979157177141504400
"reject, ignore","picker, picky",お気に入りの色を選べる。,You can pick your favorite color.,選ぶ,2,2423,動詞,"choose, select",pick,1752129541763x456701015039033840
"reject, discard","chooser, choice",あなたはお気に入りの色を選ぶことができる。,You can choose your favorite color.,選ぶ,1,2422,動詞,"select, pick out, opt for",choose,1752129541763x972631870304118500
,champion,彼らは選手権を勝ち取った。,They won the championship.,選手権,2,2427,名詞,"tournament, competition",championship,1752129541764x435658218037155100
obligation,"optional, optionality",選べる選択肢はいくつかある。,There are several options to choose from.,選択肢,4,2430,名詞,"choice, alternative, possibility",option,1752129541764x559562606048929000
,"elect, elected",大統領選挙は来年開催される。,The presidential election will be held next year.,選挙,5,2426,名詞,"poll, ballot, vote",election,1752129541764x639035652887025500
"lack, absence","select, selective",市場にはさまざまな種類の果物がありた。,There was a wide selection of fruits at the market.,選択,3,2429,名詞,"choice, option, variety",selection,1752129541764x798935563977942500
"dismiss, reject","election, elected",市民は新しい市長を選出した。,The citizens elected a new mayor.,選ぶ,4,2425,動詞,"choose, select",elect,1752129541764x809733301035345500
"unselective, indiscriminate","selectively, selectiveness",彼女は選択的な記憶を持っており、良い時ばかりを覚えている。,She has a selective memory and only remembers good times.,選択的な,4,2431,形容詞,"discriminating, critical, particular",selective,1752129541764x830680380784922800
"compulsion, necessity","choose, choosy",あなたの選択を尊重する。,I respect your choice.,選択,3,2428,名詞,"option, selection",choice,1752129541764x876751085922019300
"discard, reject","selection, selectable",リストからお気に入りの曲を選べる。,You can select your favorite song from the list.,選ぶ,3,2424,動詞,"choose, pick",select,1752129541764x983600143580008300
"next, future",previously,私は以前の機会に彼に会ったことがある。,I have met him on a previous occasion.,前の,2,2437,形容詞,"prior, former",previous,1752129541767x197895432992302180
post,"pre-exam, pre-war, pre-arranged",試験前の緊張感が出てき始めている。,The pre-exam nerves are starting to kick in.,前、先,3,2434,接頭辞,"before, prior to",pre,1752129541767x221836645463855840
,"flashlight, flasher",空に稲妻が一瞬光った。,There was a flash of lightning in the sky.,閃光、一瞬,2,2433,名詞,"sparkle, blaze",flash,1752129541767x248155105747949200
"current, present",,私の元彼女は今では私の親友だ。,My ex-girlfriend is now my best friend.,前の、元,2,2438,形容詞,"former, previous",ex,1752129541767x283722890929767100
after,"beforehand, beforetime",外出する前に宿題を終えてください。,Finish your homework before you go out.,前に,1,2435,前置詞,"prior to, ahead of",before,1752129541767x383462833895037900
"current, present",formerly,私の前の先生は今、校長だ。,My former teacher is now a principal.,前の,5,2436,形容詞,"previous, ex-, past",former,1752129541767x401836184898048500
"stasis, stagnation","transitional, transitionally",その国は民主主義への遷移中である。,The country is in transition to democracy.,遷移,7,2432,名詞,"change, shift, transformation",transition,1752129541767x687076379734072700
"back, backward","forthcoming, forthright",彼はその地域を探索するために出かけた。,He went forth to explore the area.,前へ,6,2439,副詞,"forward, out, onward",forth,1752129541767x853914216425352000
"backward, behind","forwards, forwardness",一歩前に進め。,Move forward one step.,前進する,2,2440,副詞,"ahead, onward",forward,1752129541767x958854718944790400
"conclusion, result","premises, premised",彼の議論の前提は欠陥があった。,The premise of his argument was flawed.,前提,7,2441,名詞,"assumption, basis",premise,1752129541768x988209264391786800
"behind, backward",ahead of,前方の道路は開けている。,The road ahead is clear.,前方に,2,2442,副詞,"forward, onward",ahead,1752129541769x111970643982460590
"none, zero, nothing","all-out, all-in, all-round",全ての生徒が教室にいる。,All the students are in the classroom.,全て,1,2446,代名詞,"every, entire, total",all,1752129541769x116327396507384110
"partially, slightly","total, totality",長い旅行の後で、私は完全に疲れ果てている。,I'm totally exhausted after the long journey.,全く、完全に,3,2445,副詞,"completely, entirely, fully",totally,1752129541769x242279121863276030
"back, rear","frontal, frontage",その男性は列の最前線に立っていた。,The man stood at the front of the line.,前面,2,2443,"名詞, 動詞, 形容詞","forefront, face",front,1752129541769x392149725731915970
"nothing, none",every,彼女は持っている全てを与えた。,She gave everything she had.,全て,2,2447,代名詞,"all, whole",everything,1752129541769x666218040561363800
"evil, malevolence, wickedness","good, goodly",彼女の心の善良さは、彼女を知るすべての人に明らかだった。,The goodness of her heart was evident to all who knew her.,善良,5,2444,名詞,"virtue, kindness, benevolence",goodness,1752129541769x804958071022043100
"partial, incomplete",wholly,私はピザを一枚全部一人で食べた。,I ate the whole pizza by myself.,全体,2,2450,形容詞,"entire, complete",whole,1752129541770x147346243599673300
"nobody, no one",,全ての人は意見を表現する権利を持っている。,Everyone has the right to express their opinion.,全ての人,2,2448,代名詞,"everybody, all",everyone,1752129541770x280468379622570880
"local, regional","globally, globalization, globe",気候変動は全世界的な問題だ。,Climate change is a global issue.,全世界的な,5,2449,形容詞,"worldwide, international, universal",global,1752129541770x510950425667773500
"partial, incomplete","entirely, entirety",彼女は一日中ビーチで過ごした。,She spent the entire day at the beach.,全体の,2,2451,形容詞,"whole, full, total, complete",entire,1752129541770x581053161896162700
"descendant, offspring","ancestral, ancestress",私の祖先はヨーロッパから来た。,My ancestors came from Europe.,祖先,5,2454,名詞,"forebear, progenitor",ancestor,1752129542431x106927213634438580
"partly, partially",,全体的に見て、それは素晴らしいパーティだった。,"Altogether, it was a great party.",全体的に,6,2453,副詞,"completely, entirely",altogether,1752129542431x408045321607912700
"specific, individual",,全体的に見て、プロジェクトは成功だった。,"Overall, the project was a success.",全体的な,5,2452,形容詞,"general, total",overall,1752129542431x421446692702091200
"awful, terrible, bad","fantastically, fantasticness, fantastical",山の頂上からの眺めは素晴らしかった。,The view from the top of the mountain was fantastic.,素晴らしい,4,2459,形容詞,"great, excellent, wonderful",fantastic,1752129542432x246157261661672060
,,子供の頃、祖母はよく私に物語を語ってくれた。,My grandmother used to tell me stories when I was a child.,祖母,1,2455,名詞,"granny, grandma",grandmother,1752129542432x263233103932241540
"refined, sophisticated",crudely,彼は粗末な謝罪の試みをした。,He made a crude attempt at apology.,粗末な,7,2456,形容詞,"rough, raw",crude,1752129542432x334643501220808200
"horrible, terrible",wonderfulness,今日は素晴らしい日だ。,It's a wonderful day today.,素晴らしい,2,2458,形容詞,"fantastic, marvelous, great",wonderful,1752129542432x366021984177425700
slowly,"quicken, quickness",彼は急いで店に走った。,He quickly ran to the store.,素早く,2,2461,副詞,"rapidly, swiftly, speedily",quickly,1752129542432x625520749291610600
"terrible, awful",greatness,これは私たちにとって素晴らしい機会だ。,This is a great opportunity for us.,素晴らしい,1,2457,形容詞,"excellent, wonderful, fantastic",great,1752129542432x644386879642383700
"dull, unimpressive","brilliantly, brilliance",彼の素晴らしいアイデアが会社の成功につながった。,His brilliant ideas led to the company's success.,素晴らしい、輝かしい,4,2460,形容詞,"bright, radiant, outstanding",brilliant,1752129542432x764416888835217400
"unlovely, ugly, unpleasant","loveliness, lovably",彼女の笑顔は素敵だ。,She has a lovely smile.,素敵な,4,2463,形容詞,"beautiful, delightful, charming",lovely,1752129542433x149922350801855680
separation,"combine, combinational",これら2つの要素の組み合わせで強い材料が作られる。,The combination of these two elements creates a strong material.,組み合わせ,3,2464,名詞,"mixture, blend",combination,1752129542433x162774289421815580
"disunion, disassociation","unionize, unionist",彼は労働組合の一員だ。,He is a member of the labor union.,組合,3,2466,名詞,"association, federation, alliance",union,1752129542433x299784799396567230
"exclude, remove","incorporation, incorporated",これらの変更を計画に組み入れる必要がある。,We need to incorporate these changes into the plan.,組み入れる,7,2465,動詞,"integrate, include, insert",incorporate,1752129542433x310708075878747900
disorganization,"organize, organizational",この組織は野生生物を保護することを目指している。,This organization aims to protect wildlife.,組織,4,2467,名詞,"institution, establishment, corporation",organization,1752129542433x564047524387720960
"unpleasant, nasty","nicely, niceness",彼はとても素敵な人だ。,He is a very nice person.,素敵な,1,2462,形容詞,"pleasant, delightful, lovely",nice,1752129542433x730769388873150100
"disorganize, scatter, disarrange","organization, organizer, organized",彼女はチャリティーイベントの組織化を手伝いた。,She helped to organize a charity event.,組織化する,5,2469,動詞,"arrange, coordinate, plan",organize,1752129542434x118494669409719980
"repulse, displease","appealing, appellant",彼女は助けを求めて群衆に訴えた。,She appealed to the crowd for help.,訴える,4,2470,動詞,"plead, request",appeal,1752129542434x148054097114667100
"destruction, annihilation","create, creative",宇宙の創造は謎だ。,The creation of the universe is a mystery.,創造,4,2471,名詞,"formation, invention, generation",creation,1752129542434x729240137706416800
,,鼻をかむためにティッシュが必要だ。,I need a tissue to blow my nose.,組織、ティッシュ,3,2468,名詞,"paper, napkin",tissue,1752129542434x854955556813203500
"petty, small, insignificant","grandeur, grandly",私たちは壮大な山の景色を賞賛した。,We admired the grand view of the mountains.,壮大な,3,2475,形容詞,"magnificent, majestic, great",grand,1752129542436x115086324406416200
destroy,"creates, created, creating",彼は傑作を創り出した。,He created a masterpiece.,創造する,3,2472,動詞,"make, produce, build",create,1752129542436x193398984317388000
"reality, fact","imaginative, imaginatively",美しい絵を描くために、あなたの想像力を使ってください。,Use your imagination to create a beautiful painting.,想像力,4,2478,名詞,"creativity, inventiveness, vision",imagination,1752129542436x301426309208022900
,"layered, layering",地球の大気はいくつかの層でできている。,The earth's atmosphere is made of several layers.,層,2,2476,名詞,"level, stratum",layer,1752129542436x649131457868438400
"disregard, ignore","imagination, imaginative",電気がない生活を想像できるか？,Can you imagine living without electricity?,想像する,3,2477,動詞,"visualize, envision, conceive",imagine,1752129542436x801252420186840400
single,twins,彼らは一卵性の双子の兄弟だ。,They are identical twin brothers.,双子,2,2474,"名詞, 形容詞","double, pair",twin,1752129542436x923699037728226200
"unimaginative, uninspired, conventional","creatively, creativeness, creatives",彼女は非常に創造的なアーティストだ。,She is a very creative artist.,創造的な,3,2473,形容詞,"innovative, imaginative, inventive",creative,1752129542436x995187922524886100
"discontinue, stop","operation, operator",この機械を操作できるか？,Can you operate this machine?,操作する,6,2482,動詞,"run, manage",operate,1752129542437x101930178097466850
"mismanagement, neglect, noninterference","manipulate, manipulative, manipulator",データの操作により、誤った結論が導かれた。,The manipulation of the data led to incorrect conclusions.,操作,6,2480,名詞,"control, handling, management",manipulation,1752129542437x499581640735505340
,"operate, operator",手術は成功した。,The operation was successful.,操作、手術,4,2481,名詞,"procedure, process",operation,1752129542437x701499754063086700
"remove, extract, pull out","insertion, insertable",鍵を鍵穴に挿入する。,Insert the key into the lock.,挿入する,4,2479,動詞,"put in, introduce, slide",insert,1752129542437x744577794641833200
,"nesting, nested",鳥は木に巣を作った。,The bird built a nest in the tree.,巣,2,2486,名詞,"home, den",nest,1752129542438x199416511826608260
,"correlation, correlational",これら2つの変数は強く相関している。,These two variables correlate strongly.,相関する,8,2488,動詞,"match, correspond",correlate,1752129542438x276561727920822100
"late, tardy","earlier, earliest",彼はいつも早く起きる。,He always wakes up early.,早い,1,2485,形容詞,"premature, ahead, quick",early,1752129542438x486122636610535400
"agreement, accord, harmony","disputable, disputant, disputed",財産権を巡って争いが起こった。,There was a dispute over the property rights.,争い,6,2487,名詞,"argument, conflict, controversy",dispute,1752129542438x600089866148304900
"independence, disconnection, unrelatedness","correlate, correlated",喫煙と肺がんの間には強い相関関係がある。,There is a strong correlation between smoking and lung cancer.,相関関係,7,2489,名詞,"connection, relationship, link",correlation,1752129542438x673108988913467800
,"interact, interactive, interacting",2つのチーム間で多くの相互作用がある。,There is a lot of interaction between the two teams.,相互作用,7,2491,名詞,"interplay, communication, exchange",interaction,1752129542438x695272048456918500
"individual, separate",mutually,彼らは相互の理解を持っている。,They have a mutual understanding.,相互の，共通の,6,2490,形容詞,"reciprocal, common",mutual,1752129542438x716133638184351700
,"operate, operation, operational",彼は熟練した機械操作者だ。,He is a skilled machine operator.,操作者、運転手,4,2484,名詞,"worker, handler, driver",operator,1752129542438x801586053865796400
"neglect, ignore","manipulation, manipulative",彼は自分が欲しいものを得るために人々を操作する方法を知っている。,He knows how to manipulate people to get what he wants.,操作する,7,2483,動詞,"control, influence",manipulate,1752129542438x968880961091657100
"decision, answer","consult, consultant",私たちは今後のプロジェクトについて話し合うための会議が必要だ。,We need a consultation to discuss the upcoming project.,相談,5,2492,名詞,"conference, discussion, meeting",consultation,1752129542802x690364110732860400
"ignore, disregard","consultant, consultation",症状が続く場合は、医者に相談すべきだ。,You should consult a doctor if the symptoms continue.,相談する,5,2493,動詞,"advise, confer",consult,1752129542802x942953776192716000
"receive, absorb, retain","transmitter, transmittal, transmission",その病気は動物から人間に伝えることができる。,The disease can be transmitted from animals to humans.,送信する、伝える,5,2500,動詞,"convey, pass on, distribute",transmit,1752129542803x181747678277912830
,,草は緑色だ。,The grass is green.,草,1,2495,名詞,"lawn, turf",grass,1752129542803x335527902381513200
,"devise, deviceful",彼女は姿勢を改善するための特別な装置を使用している。,She uses a special device to improve her posture.,装置、デバイス,4,2496,名詞,"gadget, apparatus, tool",device,1752129542803x439240162655235600
"wall, door","windowsill, windowpane",彼は新鮮な空気を入れるために窓を開けた。,He opened the window to let in some fresh air.,窓,1,2494,名詞,"pane, casement",window,1752129542803x684807650078183700
"receive, retain","sender, send-off, sendable",明日までにそのレポートを送ってください。,Please send me the report by tomorrow.,送る,2,2499,動詞,"dispatch, deliver, forward, transmit",send,1752129542803x814065545939250000
"avoid, evade","encountered, encountering",ハイキング中に数多くの障害に遭遇した。,We encountered numerous obstacles during our hike.,遭遇する,5,2501,動詞,"meet, confront, face",encounter,1752129542803x846932428978922200
,equip,私たちは設備を更新する必要がある。,We need to update our equipment.,装備、設備,3,2497,名詞,"gear, apparatus, machinery",equipment,1752129542803x913588976705386000
"walk, halt, stop","runner, running",彼女は朝に走るのが好きだ。,She likes to run in the morning.,走る,1,2498,動詞,"sprint, jog, race",run,1752129542803x975714013145681700
"peace, calm",disturb,学校の外で騒動が起きた。,There was a disturbance outside the school.,騒動,6,2503,名詞,"disruption, disorder",disturbance,1752129542804x542477050024569900
"silence, quiet","noisy, noiseless",私は夜中に奇妙な音を聞きた。,I heard a strange noise in the middle of the night.,騒音,2,2502,名詞,"sound, racket, clamor",noise,1752129542804x967947674781091000
"decrease, reduce, decline","increase, increasable, increaser",都市の人口は近年、大幅に増加している。,The population of the city has increased significantly in recent years.,増加する,3,2505,動詞,"rise, grow, expand",increase,1752129542805x219040723449446460
"vertical, top","laterality, laterally",彼は会社で横移動をして別の部署に移った。,He made a lateral move in the company to a different department.,側面の,6,2509,形容詞,"sideways, side",lateral,1752129542805x339980751086034400
center,"sideline,sideways,sideswipe",彼女はベッドの端に座った。,She sat on the side of the bed.,側,1,2507,名詞,"edge,flank,border,margin",side,1752129542805x438475838871672500
"decrease, reduce","multiplier, multiplication",菌は暖かい環境で急速に増える。,The bacteria multiply rapidly in warm conditions.,増やす,2,2504,動詞,"increase, expand",multiply,1752129542805x441744314066702800
,gifted,友人から贈り物をもらいた。,I received a gift from my friend.,贈り物、才能,1,2506,名詞,"present, talent, endowment",gift,1752129542805x649073592933981000
exhalation,breathe,彼は話し始める前に深呼吸した。,He took a deep breath before he started to speak.,息,1,2511,名詞,"respiration, inhalation",breath,1752129542805x747260701308965400
"delayed, future",immediately,私たちは即時に行動を取る必要がある。,We need to take immediate action.,即時の,6,2510,形容詞,"instant, prompt",immediate,1752129542805x939917772641119200
,aspectual,それは問題の重要な側面だ。,That is an important aspect of the problem.,側面,7,2508,名詞,"feature, facet, angle",aspect,1752129542805x962021121349929600
daughter,"sonny, son-like",私の息子はとても早く成長している。,My son is growing up so fast.,息子,1,2512,名詞,"boy, child, lad",son,1752129542808x347133331996697150
"guess, estimate","measure, measurable",部屋の計測は正確でした。,The measurement of the room was accurate.,測定、計測,2,2516,名詞,"dimension, calculation",measurement,1752129542809x161122328387333100
guess,"measurement, measurable",彼女はテーブルの長さを測定した。,She measured the length of the table.,測定する,2,2517,"名詞, 動詞","gauge, calculate",measure,1752129542809x531489624288719040
"arm, hand","legged, legless, legging",彼はサッカーをしている時に足を折りた。,He broke his leg while playing soccer.,足,1,2519,名詞,"limb, appendage",leg,1752129542809x563011404757278700
"free, unrestricted","boundary, boundless",彼は自分の約束に縛られていると感じた。,He felt bound by his promise.,束縛された,4,2515,形容詞,"tied, obligated",bound,1752129542809x567105265409191230
"individual, single, one","bunchy, bunching",彼女は母親のために花の束を買いた。,She bought a bunch of flowers for her mother.,束、群れ,1,2514,名詞,"cluster, group, collection",bunch,1752129542809x631835347902285600
"slow, sluggish","faster, fastest, fastly",彼はとても速く走ることができる。,He can run very fast.,速い,2,2520,形容詞,"quick, rapid, swift",fast,1752129542809x664922841239981000
head,"footed, footless",私は裸足で何か鋭いものを踏みた。,I stepped on something sharp with my bare foot.,足,1,2518,名詞,"pedal, paw, hoof",foot,1752129542809x706777837592142300
"slow, tardy, sluggish","quickness, quickly",彼は課題を素早く終えた。,He was quick to finish his assignments.,速い,1,2521,形容詞,"fast, speedy, swift",quick,1752129542809x895370037016681100
